交易时间	公众账号ID	商户号	特约商户号	设备号	微信订单号	商户订单号	用户标识	交易类型	交易状态	付款银行	货币种类	应结订单金额	代金券金额	微信退款单号	商户退款单号	退款金额	充值券退款金额	退款类型	退款状态	公司名称	商户数据包	手续费	费率	订单金额	申请退款金额	费率备注				值	
`2020-08-25 11:23:03	`wx271ae48b10918188	`1516858981	`0	`	`4200000699202008253102561960	`470651669646358731	`oJdiI1HnuqR9RmMYe47ll0M_Tp18	`NATIVE	`SUCCESS	`OTHERS	`CNY	`8.00	`0.00	`0	`0	`0.00	`0.00	`	`	广汽菲克	`r	`0.05000	`0.60%	8	0	`					
`2020-08-25 12:02:10	`wx271ae48b10918188	`1516858981	`0	`	`4200000688202008256406807665	`810651672040243286	`oJdiI1HtkHeDqwzBXxFNoqMIhwF0	`NATIVE	`SUCCESS	`SPDB_CREDIT	`CNY	`1.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.01000	`0.60%	1	0	`					
`2020-08-25 20:41:04	`wx271ae48b10918188	`1516858981	`0	`	`4200000685202008250793298702	`640651703119165216	`oJdiI1I73K5DoZDzO5yxbD8pCxLw	`JSAPI	`SUCCESS	`OTHERS	`CNY	`133.00	`0.00	`0	`0	`0.00	`0.00	`	`	欧菲	`r	`0.80000	`0.60%	133	0	`					
`2020-08-26 09:49:15	`wx271ae48b10918188	`1516858981	`0	`	`4200000694202008268093992960	`690651750523937844	`oJdiI1LDFOhnpzXS6ewi5VQ6wp9c	`NATIVE	`SUCCESS	`PSBC_DEBIT	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	文思海辉	`r	`0.04000	`0.60%	6	0	`					
`2020-08-26 09:53:49	`wx271ae48b10918188	`1516858981	`0	`	`4200000696202008264115028842	`180651750775396374	`oJdiI1AIaGzU6KWxeENBhiKikKQs	`NATIVE	`SUCCESS	`OTHERS	`CNY	`5.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.03000	`0.60%	5	0	`					
`2020-08-27 13:29:10	`wx271ae48b10918188	`1516858981	`0	`	`4200000681202008270305838105	`340651850030779871	`oJdiI1KWfH9SFhfMy_VGD3WFBMQU	`NATIVE	`SUCCESS	`OTHERS	`CNY	`5.00	`0.00	`0	`0	`0.00	`0.00	`	`	美克家居	`r	`0.03000	`0.60%	5	0	`					
`2020-08-28 14:38:48	`wx271ae48b10918188	`1516858981	`0	`	`4200000685202008284031459790	`990651940525337702	`oJdiI1POiziEpgfphgWSyj2Brdkg	`NATIVE	`SUCCESS	`OTHERS	`CNY	`6.00	`0.00	`0	`0	`0.00	`0.00	`	`	CDP集团	`r	`0.04000	`0.60%	6	0	`					
`2020-08-28 15:41:58	`wx271ae48b10918188	`1516858981	`0	`	`4200000685202008284031459790	`990651940525337702	`oJdiI1POiziEpgfphgWSyj2Brdkg	`NATIVE	`REFUND	`OTHERS	`CNY	`0.00	`0.00	`50300605712020082802394330171	`202008281541402780	`6.00	`0.00	`ORIGINAL	`SUCCESS	CDP集团	`r	`-0.04000	`0.60%	0	6	`					
`2020-08-28 15:01:24	`wx271ae48b10918188	`1516858981	`0	`	`4200000691202008287675759085	`720651941969489618	`oJdiI1KnPfB89G38_sfAsL1q2zHE	`JSAPI	`SUCCESS	`CMB_CREDIT	`CNY	`64.00	`0.00	`0	`0	`0.00	`0.00	`	`	易鑫	`r	`0.38000	`0.60%	64	0	`					
`2020-08-29 13:52:36	`wx271ae48b10918188	`1516858981	`0	`	`4200000703202008290121134579	`590652024304244890	`oJdiI1P35uS7F4twOF8R-qUKl7gU	`JSAPI	`SUCCESS	`OTHERS	`CNY	`14.00	`0.00	`0	`0	`0.00	`0.00	`	`	盖璞有限公司	`r	`0.08000	`0.60%	14	0	`					
